location_name,category,country_code,grouped_category
miriy airport cargo termnal,air cargo terminals,MY,114
lapangan terbang sultan azlan shah cargo terminal,air cargo terminals,MY,114
termina kargo sultan mahmud,air cargo terminals,MY,114
kargo terminal labuan,air cargo terminals,MY,114
miri airport cargo t terminal,air cargo terminals,MY,114
subang airpot kargo terminal,air cargo terminals,MY,114
sultan abdul halim airport terminal kargo,air cargo terminals,MY,114
kota kinabalu airport kargo terminal,air cargo terminals,MY,114
cargo terminal kuching internation airport,air cargo terminals,MY,114
terminal kargo langkawi internatinol airpot,air cargo terminals,MY,114
alor setar airport cargo terminal,air cargo terminals,MY,114
subng airfright terminal,air cargo terminals,MY,114
klia frieght terminal 2,air cargo terminals,MY,114
terminal kargo ipoh,air cargo terminals,MY,114
kargo terminal johor bahru,air cargo terminals,MY,114
lya airfreight terminal,air cargo terminals,MY,114
labuan freight terminal,air cargo terminals,MY,114
alor setar fright terminal,air cargo terminals,MY,114
malaysia airports kargo terminal,air cargo terminals,MY,114
air 21 cargo terminal,air cargo terminals,PH,114
fedex philipines air freights,air cargo terminals,PH,114
cebu pacific cargon send,air cargo terminals,PH,114
jrs cargo terminal,air cargo terminals,PH,114
philippine airlines cargo terminal,air cargo terminals,PH,114
pilipino airlinez cargo center,air cargo terminals,PH,114
lbc air cargo express,air cargo terminals,PH,114
atlas air cargo,air cargo terminals,PH,114
quantum cargo air terminal,air cargo terminals,PH,114
ups air cargo - philipines,air cargo terminals,PH,114
srb cargo terminal,air cargo terminals,PH,114
philippines cebu airterminal,air cargo terminals,PH,114
fedex cergo phil,air cargo terminals,PH,114
cargo air ph terminal,air cargo terminals,PH,114
eva cargo terminal,air cargo terminals,PH,114
air link cargo terminal,air cargo terminals,PH,114
dhl air cargo terminal,air cargo terminals,PH,114
pilipins air - cargo,air cargo terminals,PH,114
speed cargo air philippines,air cargo terminals,PH,114
cargoplus mnl terminal,air cargo terminals,PH,114
airport cargo terminal manila,air cargo terminals,PH,114
phil air express cargo,air cargo terminals,PH,114
asiana air cargo terminal,air cargo terminals,PH,114
rdex express air cargo,air cargo terminals,PH,114
sigma air cargo,air cargo terminals,PH,114
mega mannila cargo air,air cargo terminals,PH,114
gogo xpress ph,air cargo terminals,PH,114
hopshopgo ph,air cargo terminals,PH,114
dhl expresss air cargo,air cargo terminals,PH,114
phx cargo centre,air cargo terminals,PH,114
jaya tekhnik ac shop,air-conditioning suppliers,ID,244
andri ac & refrigeration,air-conditioning suppliers,ID,244
ud muria jay kipas angin,air-conditioning suppliers,ID,244
toko bintang terang ac,air-conditioning suppliers,ID,244
mitra indah pendingin udara,air-conditioning suppliers,ID,244
ac central mega kencana,air-conditioning suppliers,ID,244
sinar dingin ac,air-conditioning suppliers,ID,244
toko ac sumber sejuk,air-conditioning suppliers,ID,244
palembang ac service,air-conditioning suppliers,ID,244
java cool air conditioning,air-conditioning suppliers,ID,244
duta ac and refrigeration,air-conditioning suppliers,ID,244
bali ac solution,air-conditioning suppliers,ID,244
ac sumatra jaya,air-conditioning suppliers,ID,244
ac vent dan kipas,air-conditioning suppliers,ID,244
kipas angin java utama,air-conditioning suppliers,ID,244
java air con,air-conditioning suppliers,ID,244
ac air prima,air-conditioning suppliers,ID,244
jaya cool service,air-conditioning suppliers,ID,244
ac maju bersama,air-conditioning suppliers,ID,244
gudang ac sumatra,air-conditioning suppliers,ID,244
intan ac solutions,air-conditioning suppliers,ID,244
betawi ac shop,air-conditioning suppliers,ID,244
ac denpasar center,air-conditioning suppliers,ID,244
kipas angin dan ac prima,air-conditioning suppliers,ID,244
rumah ac maju,air-conditioning suppliers,ID,244
home ac jaya,air-conditioning suppliers,ID,244
toko ac bina bersama,air-conditioning suppliers,ID,244
bali aircon services,air-conditioning suppliers,ID,244
ac jakarta mega store,air-conditioning suppliers,ID,244
ac dan kipas sumatera,air-conditioning suppliers,ID,244
raj air-con trading,air-conditioning suppliers,IN,244
anapurna ac supliers,air-conditioning suppliers,IN,244
jay bheravnaath a/c,air-conditioning suppliers,IN,244
vijay's ac shoppe,air-conditioning suppliers,IN,244
kuldeep's cool point,air-conditioning suppliers,IN,244
shiv airconditioning supliers,air-conditioning suppliers,IN,244
kumar air-con traders,air-conditioning suppliers,IN,244
munna ac and fridge corners,air-conditioning suppliers,IN,244
cooling corner pvt ltd,air-conditioning suppliers,IN,244
neelkanth traders,air-conditioning suppliers,IN,244
rahul's cool corner,air-conditioning suppliers,IN,244
tanmay air conditioning,air-conditioning suppliers,IN,244
shankar ac suppliers,air-conditioning suppliers,IN,244
cool point refrigeration,air-conditioning suppliers,IN,244
abhay ac shoppee,air-conditioning suppliers,IN,244
bheravnath aircon,air-conditioning suppliers,IN,244
satyam ac,air-conditioning suppliers,IN,244
ac bazaar by rakesh,air-conditioning suppliers,IN,244
deepak's cool point,air-conditioning suppliers,IN,244
basant ac sales,air-conditioning suppliers,IN,244
javeds' cooling points,air-conditioning suppliers,IN,244
haier's ac corner,air-conditioning suppliers,IN,244
naveen's air conditioning store,air-conditioning suppliers,IN,244
ac world,air-conditioning suppliers,IN,244
ac corner by hitachi,air-conditioning suppliers,IN,244
gupta's air conditioning,air-conditioning suppliers,IN,244
krishna cool point,air-conditioning suppliers,IN,244
lg air conditioning limited,air-conditioning suppliers,IN,244
meizu ac suppliers,air-conditioning suppliers,IN,244
biswajit aircon trading,air-conditioning suppliers,IN,244
gintell air-cond shop,air-conditioning suppliers,MY,244
kzac aircond services sdn bh,air-conditioning suppliers,MY,244
cooltech grp sdn bhd,air-conditioning suppliers,MY,244
fujiaire sales & services sdn bh,air-conditioning suppliers,MY,244
st chua aircondition service,air-conditioning suppliers,MY,244
penchala air cond & electrical,air-conditioning suppliers,MY,244
toshiba aircond malaysia,air-conditioning suppliers,MY,244
ding he air condition and electrical,air-conditioning suppliers,MY,244
ah engg air condutioniing work,air-conditioning suppliers,MY,244
yet keong elect & aircon servic,air-conditioning suppliers,MY,244
wan's aircond & electrical,air-conditioning suppliers,MY,244
pembekal ayam syeoh ho kee,air-conditioning suppliers,MY,244
infinite aircon solution,air-conditioning suppliers,MY,244
choong air condtioning services,air-conditioning suppliers,MY,244
seng hup air condition sd,air-conditioning suppliers,MY,244
ong air conditioning & electrical,air-conditioning suppliers,MY,244
secret recipe aircond dept,air-conditioning suppliers,MY,244
acson international,air-conditioning suppliers,MY,244
tiong nam airconditioning supplies,air-conditioning suppliers,MY,244
aaircon air-conditioning services,air-conditioning suppliers,MY,244
lorenzo air-condition service,air-conditioning suppliers,MY,244
bg airnecool supplier,air-conditioning suppliers,MY,244
lkk aircon & electrical,air-conditioning suppliers,MY,244
mk curtain aircond services,air-conditioning suppliers,MY,244
mraircond services,air-conditioning suppliers,MY,244
senheng electric airconditioning,air-conditioning suppliers,MY,244
mcd's airconditioning service,air-conditioning suppliers,MY,244
acson malaysia aircon service,air-conditioning suppliers,MY,244
yet keong eletc & aircon serviv,air-conditioning suppliers,MY,244
panasonic air condtioning my,air-conditioning suppliers,MY,244
flxhose ac & supplies,air-conditioning suppliers,PH,244
airacondi sales - manila,air-conditioning suppliers,PH,244
refijection acs - cebu,air-conditioning suppliers,PH,244
coolbreeze conditional supplies,air-conditioning suppliers,PH,244
two a two e ref supplies,air-conditioning suppliers,PH,244
hotwind air conditioning inc,air-conditioning suppliers,PH,244
syson steel centre,air-conditioning suppliers,PH,244
lynden ac equipmentss,air-conditioning suppliers,PH,244
jervy's cooling services,air-conditioning suppliers,PH,244
"ac & co, baguio",air-conditioning suppliers,PH,244
pacificac air conditioning and refrigeration inc,air-conditioning suppliers,PH,244
de cold wind - pasig,air-conditioning suppliers,PH,244
banawe airco parts,air-conditioning suppliers,PH,244
oliveros ac supplies - cubao,air-conditioning suppliers,PH,244
tlj airconditioning sales & services - ortigas,air-conditioning suppliers,PH,244
ayala air conditining center,air-conditioning suppliers,PH,244
ac² inc. - cagayan de oro,air-conditioning suppliers,PH,244
chilz ac supplier - makati,air-conditioning suppliers,PH,244
linen steel enterprises,air-conditioning suppliers,PH,244
notrjio aircon supplies,air-conditioning suppliers,PH,244
"entece air conditionong, batangas",air-conditioning suppliers,PH,244
chillax airconditioning center - quezon city,air-conditioning suppliers,PH,244
megavent  aircon & ventilation systems,air-conditioning suppliers,PH,244
imperial cool  services,air-conditioning suppliers,PH,244
davao frost inc,air-conditioning suppliers,PH,244
vigan air cooling solutions,air-conditioning suppliers,PH,244
reyna-cool air equipment & services,air-conditioning suppliers,PH,244
nueva ecija icewind systems,air-conditioning suppliers,PH,244
palawan freeze aircon,air-conditioning suppliers,PH,244
visayas cool supply corp.,air-conditioning suppliers,PH,244
terminal 3 soekarno hatta,airport terminals,ID,112
soekarnohtta terminal 1,airport terminals,ID,112
bandara internasional jyapura,airport terminals,ID,112
juanda surabyaa terminal 2,airport terminals,ID,112
terminal tjokroaminoto,airport terminals,ID,112
hang nadim intrnational,airport terminals,ID,112
terminal 2 hang nadim,airport terminals,ID,112
sultan hasannuddin terminal 3,airport terminals,ID,112
sultan hasnnudin terminal 2,airport terminals,ID,112
terminal 1 sultan thahha,airport terminals,ID,112
terminal 3 syamsudin noor,airport terminals,ID,112
samsuddin noor term 2,airport terminals,ID,112
husein sastrangraha terminal,airport terminals,ID,112
hussein sastranegara terminal 3,airport terminals,ID,112
lombok intrnational airport,airport terminals,ID,112
lombok internatioal terminal 3,airport terminals,ID,112
termnal 2 adisucipto,airport terminals,ID,112
adi sucipto termnal 3,airport terminals,ID,112
bandra internasional lombok,airport terminals,ID,112
i gusti ngura rai terminal,airport terminals,ID,112
i gsti ngura rai terminal 3,airport terminals,ID,112
charles ptokhville terminal,airport terminals,ID,112
charls pokhville intl airprt,airport terminals,ID,112
jyapura international terminal,airport terminals,ID,112
jayapura intrnational terminal 2,airport terminals,ID,112
hang nadim terminal 1,airport terminals,ID,112
toko sinar gama jayapura,airport terminals,ID,112
plaza bandar jaya terminal,airport terminals,ID,112
sriijayabair flight terminal,airport terminals,ID,112
stop feeder lrt terminal,airport terminals,ID,112
klia terminal 1,airport terminals,MY,112
kualalumpur terminal2,airport terminals,MY,112
penang interntional termnl,airport terminals,MY,112
subang skypark,airport terminals,MY,112
sultan abdul aziz sah terminal,airport terminals,MY,112
kuching intrnational airprt,airport terminals,MY,112
caspule transit,airport terminals,MY,112
firefly kll airport,airport terminals,MY,112
senai intrnational terminal,airport terminals,MY,112
langkawi inernational aerport,airport terminals,MY,112
miri internatinal airprt,airport terminals,MY,112
kota kinabalu international,airport terminals,MY,112
labuan terminal,airport terminals,MY,112
sultn mahmud airport,airport terminals,MY,112
sibu international,airport terminals,MY,112
sultan ismail petra termnal,airport terminals,MY,112
bintulu internationl,airport terminals,MY,112
tawau airport,airport terminals,MY,112
lahad datu airport,airport terminals,MY,112
kudat airport,airport terminals,MY,112
mulu airport,airport terminals,MY,112
sultan azlan shah trminal,airport terminals,MY,112
kuantan sultan ahmad shah,airport terminals,MY,112
ipoh terminal,airport terminals,MY,112
malacca intrnational,airport terminals,MY,112
sultan abdul halim airport,airport terminals,MY,112
alor setar terminal,airport terminals,MY,112
kerteh airport,airport terminals,MY,112
redang island airport,airport terminals,MY,112
tioman airport,airport terminals,MY,112
changi tarminal 1,airport terminals,SG,112
changi trmnl 2,airport terminals,SG,112
changi terminal three,airport terminals,SG,112
t4 changi,airport terminals,SG,112
seletar airport terminal,airport terminals,SG,112
changi aiport t1,airport terminals,SG,112
terminal 5 chngi,airport terminals,SG,112
seletar arpt trmnl,airport terminals,SG,112
turmunol 1 at chungi,airport terminals,SG,112
chungi terminal dua,airport terminals,SG,112
changi international t3,airport terminals,SG,112
t2 @ changi intl airport,airport terminals,SG,112
seletar terminal,airport terminals,SG,112
changi airport t5,airport terminals,SG,112
changi tarminal four,airport terminals,SG,112
changi trmnl v,airport terminals,SG,112
changi terminal ii,airport terminals,SG,112
changi arpt terminal 3,airport terminals,SG,112
terminal 1 at seletar,airport terminals,SG,112
seletar arport t1,airport terminals,SG,112
changi terminal-5,airport terminals,SG,112
changi t2 terminal,airport terminals,SG,112
seletar arpot trminal 2,airport terminals,SG,112
t1 changi,airport terminals,SG,112
changi trminal 3,airport terminals,SG,112
changi terminal 4,airport terminals,SG,112
seletar arpot terminal 3,airport terminals,SG,112
terminal v changi,airport terminals,SG,112
changi terminal 1 exit b,airport terminals,SG,112
taman impian jaya ancol,amusement and theme parks,ID,127
dufan jakarta,amusement and theme parks,ID,127
taman mini indonesia indah,amusement and theme parks,ID,127
eco green park bali,amusement and theme parks,ID,127
dunia fantasi incorrect,amusement and theme parks,ID,127
the jungle water adventure,amusement and theme parks,ID,127
malang night paradise mnpp,amusement and theme parks,ID,127
batu secret zoo,amusement and theme parks,ID,127
jatim park 2,amusement and theme parks,ID,127
snowbay waterpark tmii,amusement and theme parks,ID,127
angry bird activity park,amusement and theme parks,ID,127
kid co fun and learn,amusement and theme parks,ID,127
lolipop playland and café,amusement and theme parks,ID,127
kebun wisata ilegal,amusement and theme parks,ID,127
splash waterpark bali,amusement and theme parks,ID,127
outdoor theme park summarecon,amusement and theme parks,ID,127
waterboom lippo cikarang,amusement and theme parks,ID,127
sindu kusuma edu park,amusement and theme parks,ID,127
sindhu bilbao amusement park,amusement and theme parks,ID,127
aws potato paragan temanggung,amusement and theme parks,ID,127
trans studio miniature,amusement and theme parks,ID,127
ts park bandung,amusement and theme parks,ID,127
imajine that,amusement and theme parks,ID,127
legoland discovery,amusement and theme parks,ID,127
miniapolis playground,amusement and theme parks,ID,127
playparq kemang,amusement and theme parks,ID,127
jungleland adventure,amusement and theme parks,ID,127
kidspace cilandak,amusement and theme parks,ID,127
circuz town pik,amusement and theme parks,ID,127
g-land joyos surf camp,amusement and theme parks,ID,127
adlabs imagica,amusement and theme parks,IN,127
wonder la,amusement and theme parks,IN,127
essel wrold,amusement and theme parks,IN,127
ramoji film cty,amusement and theme parks,IN,127
worlds of wonder,amusement and theme parks,IN,127
niccopark,amusement and theme parks,IN,127
loktak water fun park,amusement and theme parks,IN,127
essel wyld,amusement and theme parks,IN,127
kidzania delhu,amusement and theme parks,IN,127
snow world mumbai,amusement and theme parks,IN,127
dream world ooty,amusement and theme parks,IN,127
blue worlds theme park,amusement and theme parks,IN,127
adlabs imagca,amusement and theme parks,IN,127
science ctiy park,amusement and theme parks,IN,127
veega lond,amusement and theme parks,IN,127
ramoji film citty,amusement and theme parks,IN,127
sessel world,amusement and theme parks,IN,127
kidzania dehli,amusement and theme parks,IN,127
snow world mumbau,amusement and theme parks,IN,127
fun city uttrakhand,amusement and theme parks,IN,127
wonder la kochi,amusement and theme parks,IN,127
wonderla hyd,amusement and theme parks,IN,127
disneyland india,amusement and theme parks,IN,127
unviersal studio bh,amusement and theme parks,IN,127
warner brother park kol,amusement and theme parks,IN,127
ferrari world guj,amusement and theme parks,IN,127
wild wadi water prak,amusement and theme parks,IN,127
comic con park,amusement and theme parks,IN,127
batman adventure park,amusement and theme parks,IN,127
harry potter universel theme park,amusement and theme parks,IN,127
game znoe palo,amusement and theme parks,MY,127
kidzoona kl,amusement and theme parks,MY,127
molly fantasi,amusement and theme parks,MY,127
sunoay lagoon,amusement and theme parks,MY,127
lgo land mlaysia,amusement and theme parks,MY,127
genting highlnd theme park,amusement and theme parks,MY,127
lost wrld of tambun,amusement and theme parks,MY,127
berjya times square theme park,amusement and theme parks,MY,127
klcc aquaria,amusement and theme parks,MY,127
escpe theme park penang,amusement and theme parks,MY,127
legoland wtr park johor,amusement and theme parks,MY,127
melka wonderland theme prk,amusement and theme parks,MY,127
a'famosa water thme park,amusement and theme parks,MY,127
danga bay park,amusement and theme parks,MY,127
skytrek adventure park,amusement and theme parks,MY,127
permanggil island prk,amusement and theme parks,MY,127
adventure waterpark desaru coast,amusement and theme parks,MY,127
legoland disovery center,amusement and theme parks,MY,127
kuala lumpur bird pk,amusement and theme parks,MY,127
farm in the city,amusement and theme parks,MY,127
butterfly park kl,amusement and theme parks,MY,127
national zoo of mlaysia,amusement and theme parks,MY,127
district 21,amusement and theme parks,MY,127
ipoh buggy park,amusement and theme parks,MY,127
teluk sengat crocodile frme,amusement and theme parks,MY,127
7d dicovery park,amusement and theme parks,MY,127
comic book prk,amusement and theme parks,MY,127
aquaria kualalumpur,amusement and theme parks,MY,127
orang utn island,amusement and theme parks,MY,127
skyavenue indoor thm park,amusement and theme parks,MY,127
star city ph,amusement and theme parks,PH,127
enchanted kingdum,amusement and theme parks,PH,127
enchanted kingdom,amusement and theme parks,PH,127
ocean water park,amusement and theme parks,PH,127
ocean park,amusement and theme parks,PH,127
sm tickle park,amusement and theme parks,PH,127
sm tikl park,amusement and theme parks,PH,127
zoocobia fun zoo,amusement and theme parks,PH,127
zoocobia,amusement and theme parks,PH,127
mnl ocean park,amusement and theme parks,PH,127
manila ocean park,amusement and theme parks,PH,127
tom's world sm north edsa,amusement and theme parks,PH,127
tom's word,amusement and theme parks,PH,127
tom's world robinsons galleria,amusement and theme parks,PH,127
rob galeria's tom world,amusement and theme parks,PH,127
timezone sm megamall,amusement and theme parks,PH,127
timezon megamall,amusement and theme parks,PH,127
kidzania manila,amusement and theme parks,PH,127
kidzania mnl,amusement and theme parks,PH,127
adventure jungle,amusement and theme parks,PH,127
dream play,amusement and theme parks,PH,127
dream playbox,amusement and theme parks,PH,127
dreamp1ay,amusement and theme parks,PH,127
dinosaurs island,amusement and theme parks,PH,127
dinosaur island,amusement and theme parks,PH,127
trampoline park,amusement and theme parks,PH,127
trampolin prk manila,amusement and theme parks,PH,127
skyranch tagaytay,amusement and theme parks,PH,127
skyranch baguio,amusement and theme parks,PH,127
magicland story park,amusement and theme parks,PH,127
apartemen minerva,apartments,ID,85
servis jok,apartments,ID,85
palm eit residence,apartments,ID,85
kumar gudang apartmen,apartments,ID,85
comfy home apartments,apartments,ID,85
bukit golf apartment,apartments,ID,85
regatta jakarta,apartments,ID,85
mediterania garden,apartments,ID,85
gembira apartmnt,apartments,ID,85
kebagusan-cityy,apartments,ID,85
rumah kost citra,apartments,ID,85
spectrum apartment,apartments,ID,85
easton park jatinangor,apartments,ID,85
stay kualamas,apartments,ID,85
apartement muara karang,apartments,ID,85
bandara city apartment,apartments,ID,85
tejjka apartments,apartments,ID,85
pluit sea view apartemen,apartments,ID,85
kuningan city apartment,apartments,ID,85
harmoni apartment,apartments,ID,85
citra garden apartemen,apartments,ID,85
apartmen kebagusan citi,apartments,ID,85
grand sunter apartment,apartments,ID,85
apartemen puri kemayoran,apartments,ID,85
springwood residences tangerang,apartments,ID,85
anz residnc,apartments,ID,85
gardenia boulevard,apartments,ID,85
aptmt green bay pluit,apartments,ID,85
puri casablanca apartement,apartments,ID,85
heerlijk gading,apartments,ID,85
